turns_in_diag	first_utt_idx_in_diag	human_response	prompt	corpus	sample_index
114	10	B:Um,	A:It's mainly farms and, uh, no heavy industry.. Attleboro, itself,. I live in Rhode Island.\nB:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.	switchboard	10
114	11	A:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.	B:Oh, I see.\nA:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,	switchboard	11
114	12	B:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,	A:And, it's in the north,. I live up in the, uh, northeast corner. and Attleboro sits in just over the line, where T I's plant is,\nB:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.	switchboard	12
114	13	A:Okay,. well, is that right?	B:Uh-huh.\nA:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,	switchboard	13
114	14	B:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,	A:but there isn't a lot of heavy industry.. There's the freeways. and we get an occasional,. it depends which way the wind's blowing from Boston, cause we're like forty miles south of Boston,. so we'll pick up that.. And, uh, I've noticed over the past say, maybe five or six years, uh,. we live about twenty miles away from the state airport. and I notice that the fly patterns now of the jets are getting bigger,. they're swinging wider so that now they are coming over, over our homes.\nB:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?	switchboard	14
114	15	A:Yeah,. surprise, surprise.	B:Uh-huh.\nA:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,	switchboard	15
114	16	B:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,	A:And, it seems like, uh, we're catching all that residue.. I'm not sure if it's kerosene or what that's dropping.. But, other than that, you know, we don't have the, unless we're catching it from the midwest, the emissions. You know from the power plants. Um.\nB:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.	switchboard	16
114	17	A:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.	B:Yeah.. You mean like from the coal.\nA:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,	switchboard	17
114	18	B:Uh-huh.	A:Yeah,. yeah,. we generate,. one of our, our biggest electrical plants in Rhode Island uses coal to, uh, generate electricity.\nB:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.	switchboard	18
114	19	A:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,	B:Um,\nA:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.	switchboard	19
114	20	B:Right.. Uh-huh.	A:Um, there doesn't seem to be much emission from them,. but I'm not sure about the rest of the country.\nB:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,	switchboard	20
114	21	A:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.	B:Yeah,. I notice locally a major problem is Kodak.. Um, it's interesting. because in order to, uh, keep with the E P A standards which, which tend to be visible, uh, what's coming out of your smokestack, they do all their emissions at night.. Uh, so people get up,\nA:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.	switchboard	21
114	22	B:Right.. Yeah,. yeah.	A:Okay,. well, is that right?\nB:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.	switchboard	22
114	23	A:So, you're right,. they could do something about, about that, I guess.	B:Yeah,. people get up in the morning in that neighborhood. and they've got this black ash on their cars, which, you know, seems to be,\nA:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.	switchboard	23
114	24	B:Yeah.. That seems a little ridiculous.	A:Yeah,. surprise, surprise.\nB:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.	switchboard	24
114	25	A:How are your, uh, your lakes,. and, uh,	B:Yeah,. I mean, I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, uh, you know,\nA:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.	switchboard	25
114	26	B:Oh they've been getting cleaner.	A:Yeah.. There, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.\nB:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,	switchboard	26
114	27	A:They have?	B:Uh-huh.\nA:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.	switchboard	27
114	28	B:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,	A:Um, we've got reports that, uh,. during the night seems like they'd blow off their, their stacks from, uh, the warehouses, for powerhouses,\nB:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.\nA:They have?	switchboard	28
114	29	A:Acid rain,. yeah,. that's, that's what I was, uh,	B:Right.. Uh-huh.\nA:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.\nA:They have?\nB:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,	switchboard	29
114	30	B:I mean the stuff I've read recently in Technology Review basically indicates that acid rain may be a little bit, uh, overstated. That a lot of the die off they've seen in forests may not really be due to acid rain at all.. Um,. I'm not an expert.	A:and, they do that at night too, because, employees been complaining that the cars have been pitted, and, you know, spots all over them.\nB:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.\nA:They have?\nB:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,\nA:Acid rain,. yeah,. that's, that's what I was, uh,	switchboard	30
114	31	A:Yeah,. no.. Didn't they just have an article, oh, on, uh,. they were dumping lime.	B:Right.. Yeah,. yeah.\nA:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.\nA:They have?\nB:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,\nA:Acid rain,. yeah,. that's, that's what I was, uh,\nB:I mean the stuff I've read recently in Technology Review basically indicates that acid rain may be a little bit, uh, overstated. That a lot of the die off they've seen in forests may not really be due to acid rain at all.. Um,. I'm not an expert.	switchboard	31
114	32	B:Up here?	A:So, you're right,. they could do something about, about that, I guess.\nB:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.\nA:They have?\nB:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,\nA:Acid rain,. yeah,. that's, that's what I was, uh,\nB:I mean the stuff I've read recently in Technology Review basically indicates that acid rain may be a little bit, uh, overstated. That a lot of the die off they've seen in forests may not really be due to acid rain at all.. Um,. I'm not an expert.\nA:Yeah,. no.. Didn't they just have an article, oh, on, uh,. they were dumping lime.	switchboard	32
114	33	A:Up, upstate New York somewhere, over huge areas,	B:Yeah.. That seems a little ridiculous.\nA:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.\nA:They have?\nB:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,\nA:Acid rain,. yeah,. that's, that's what I was, uh,\nB:I mean the stuff I've read recently in Technology Review basically indicates that acid rain may be a little bit, uh, overstated. That a lot of the die off they've seen in forests may not really be due to acid rain at all.. Um,. I'm not an expert.\nA:Yeah,. no.. Didn't they just have an article, oh, on, uh,. they were dumping lime.\nB:Up here?	switchboard	33
114	34	B:I haven't read that.. Oh yeah.	A:How are your, uh, your lakes,. and, uh,\nB:Oh they've been getting cleaner.\nA:They have?\nB:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,\nA:Acid rain,. yeah,. that's, that's what I was, uh,\nB:I mean the stuff I've read recently in Technology Review basically indicates that acid rain may be a little bit, uh, overstated. That a lot of the die off they've seen in forests may not really be due to acid rain at all.. Um,. I'm not an expert.\nA:Yeah,. no.. Didn't they just have an article, oh, on, uh,. they were dumping lime.\nB:Up here?\nA:Up, upstate New York somewhere, over huge areas,	switchboard	34
114	35	A:and they thought that was more beneficial because, you know it, it, some of it does soak in. and some of it runs off right away into the, in to the streams and rivers. and some of the fish were supposedly making a comeback.	B:Oh they've been getting cleaner.\nA:They have?\nB:Sure.. But, um, yeah,. I'm not sure how much the water pollution is, is directly related to the air pollution, other than acid rain,. yeah,\nA:Acid rain,. yeah,. that's, that's what I was, uh,\nB:I mean the stuff I've read recently in Technology Review basically indicates that acid rain may be a little bit, uh, overstated. That a lot of the die off they've seen in forests may not really be due to acid rain at all.. Um,. I'm not an expert.\nA:Yeah,. no.. Didn't they just have an article, oh, on, uh,. they were dumping lime.\nB:Up here?\nA:Up, upstate New York somewhere, over huge areas,\nB:I haven't read that.. Oh yeah.	switchboard	35
